::1 - - [23/May/2022:16:38:42 +0000] "GET /api/get-user-games/100 HTTP/1.1" 404 68 "{\"message\":\"User Game dengan ID 100 Tidak di temukan\",\"result\":null}"
::1 - - [23/May/2022:16:46:00 +0000] "POST /api/login HTTP/1.1" 200 400 "{\"id_user\":1,\"username\":\"imam\",\"email\":\"imam@mail.com\",\"password\":\"$2b$10$rHJRSeA8WdOUgvGYyo4Y1ONXurs2HbfmrTlYA4EVaLDvEAMKVndU.\",\"avatar\":null,\"token\":\"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZF91c2VyIjoxLCJ1c2VybmFtZSI6ImltYW0iLCJpYXQiOjE2NTMzMjQzNjAsImV4cCI6MTY1MzMyNTI2MH0.svj0RIS8MWIiutvyqQUdR04qf7rdJIRvf_3IBFRXCM8\",\"createdAt\":\"2022-05-23T13:06:27.210Z\",\"updatedAt\":\"2022-05-23T13:06:27.210Z\"}"
::1 - - [24/May/2022:06:37:24 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:37:25 +0000] "POST /login HTTP/1.1" 302 54 -
::1 - - [24/May/2022:06:37:25 +0000] "GET /view HTTP/1.1" 200 6994 -
::1 - - [24/May/2022:06:37:25 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:37:25 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [24/May/2022:06:37:25 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:37:27 +0000] "GET /view/usergames/update/3 HTTP/1.1" 200 5194 -
::1 - - [24/May/2022:06:37:28 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:37:28 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [24/May/2022:06:37:28 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:37:41 +0000] "PUT /view/usergames/3 HTTP/1.1" 302 54 -
::1 - - [24/May/2022:06:37:41 +0000] "GET /view HTTP/1.1" 200 6996 -
::1 - - [24/May/2022:06:37:41 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:37:41 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [24/May/2022:06:37:41 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:50:44 +0000] "GET / HTTP/1.1" 302 56 -
::1 - - [26/May/2022:01:50:44 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:01:50:45 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:01:50:45 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:50:49 +0000] "POST /login HTTP/1.1" 302 54 -
::1 - - [26/May/2022:01:50:49 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:50:49 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:01:50:49 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [26/May/2022:01:50:49 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:51:56 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:51:56 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:01:51:56 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [26/May/2022:01:51:56 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:52:01 +0000] "GET /view HTTP/1.1" 302 56 -
::1 - - [26/May/2022:01:52:01 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:01:52:02 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:01:52:02 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:52:05 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:52:06 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:01:52:06 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:52:09 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:52:09 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:01:52:09 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:52:12 +0000] "POST /login HTTP/1.1" 302 54 -
::1 - - [26/May/2022:01:52:12 +0000] "GET /view HTTP/1.1" 200 6996 -
::1 - - [26/May/2022:01:52:13 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:01:52:13 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [26/May/2022:01:52:13 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:54:20 +0000] "GET /view HTTP/1.1" 302 56 -
::1 - - [26/May/2022:01:54:21 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:01:54:21 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:01:54:21 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:54:23 +0000] "POST /login HTTP/1.1" 302 54 -
::1 - - [26/May/2022:01:54:24 +0000] "GET /view HTTP/1.1" 200 6996 -
::1 - - [26/May/2022:01:54:24 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:01:54:24 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [26/May/2022:01:54:24 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:54:52 +0000] "GET /view HTTP/1.1" 302 56 -
::1 - - [26/May/2022:01:54:52 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:01:54:52 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:01:54:53 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:01:54:54 +0000] "POST /login HTTP/1.1" 302 54 -
::1 - - [26/May/2022:01:54:54 +0000] "GET /view HTTP/1.1" 200 6996 -
::1 - - [26/May/2022:01:54:55 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:01:54:55 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [26/May/2022:01:54:55 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:34:27 +0000] "GET / HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:34:27 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:34:28 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:34:28 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:34:34 +0000] "POST /login HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:34:34 +0000] "GET /login HTTP/1.1" 200 1818 -
::1 - - [26/May/2022:12:34:34 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:34:34 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:34:36 +0000] "POST /login HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:34:36 +0000] "GET /login HTTP/1.1" 200 1818 -
::1 - - [26/May/2022:12:34:36 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:34:36 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:35:02 +0000] "POST /login HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:35:02 +0000] "GET /login HTTP/1.1" 200 1818 -
::1 - - [26/May/2022:12:35:03 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:35:03 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:35:45 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:35:45 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:35:45 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:35:50 +0000] "POST /login HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:35:50 +0000] "GET /login HTTP/1.1" 200 1818 -
::1 - - [26/May/2022:12:35:50 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:35:50 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:35:53 +0000] "POST /login HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:35:53 +0000] "GET /login HTTP/1.1" 200 1818 -
::1 - - [26/May/2022:12:35:53 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:35:53 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:36:07 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:36:07 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:36:07 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:36:13 +0000] "POST /login HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:36:13 +0000] "GET /login HTTP/1.1" 200 1818 -
::1 - - [26/May/2022:12:36:13 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:36:13 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:36:15 +0000] "POST /login HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:36:15 +0000] "GET /login HTTP/1.1" 200 1818 -
::1 - - [26/May/2022:12:36:15 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:36:15 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:36:40 +0000] "GET /register HTTP/1.1" 200 2044 -
::1 - - [26/May/2022:12:36:40 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:36:40 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:36:44 +0000] "POST /register HTTP/1.1" 302 62 -
::1 - - [26/May/2022:12:36:44 +0000] "GET /register HTTP/1.1" 200 2044 -
::1 - - [26/May/2022:12:36:44 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:36:44 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:36:51 +0000] "POST /register HTTP/1.1" 302 62 -
::1 - - [26/May/2022:12:36:51 +0000] "GET /register HTTP/1.1" 200 2044 -
::1 - - [26/May/2022:12:36:51 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:36:51 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:36:52 +0000] "GET /register HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:36:52 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:36:52 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:38:14 +0000] "GET /register HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:38:14 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:38:14 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:38:19 +0000] "POST /register HTTP/1.1" 302 62 -
::1 - - [26/May/2022:12:38:19 +0000] "GET /register HTTP/1.1" 200 2044 -
::1 - - [26/May/2022:12:38:19 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:38:19 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:39:54 +0000] "GET /register HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:39:55 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:39:55 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:39:55 +0000] "GET /register HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:39:55 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:39:55 +0000] "GET /register HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:39:55 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:39:55 +0000] "GET /register HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:39:56 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:39:56 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:40:00 +0000] "POST /register HTTP/1.1" 302 62 -
::1 - - [26/May/2022:12:40:00 +0000] "GET /register HTTP/1.1" 200 2044 -
::1 - - [26/May/2022:12:40:00 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:40:00 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:40:41 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:40:41 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:40:43 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:40:44 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:40:44 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:40:48 +0000] "POST /login HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:40:48 +0000] "GET /login HTTP/1.1" 200 1818 -
::1 - - [26/May/2022:12:40:49 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:40:49 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:41:18 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:41:18 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:41:18 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:41:20 +0000] "POST /login HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:41:20 +0000] "GET /login HTTP/1.1" 200 1818 -
::1 - - [26/May/2022:12:41:20 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:41:20 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:41:22 +0000] "POST /login HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:41:22 +0000] "GET /login HTTP/1.1" 200 1818 -
::1 - - [26/May/2022:12:41:22 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:41:22 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:41:31 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:41:31 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:41:31 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:41:57 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:41:58 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:41:58 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:42:00 +0000] "POST /login HTTP/1.1" 302 54 -
::1 - - [26/May/2022:12:42:00 +0000] "GET /view HTTP/1.1" 200 6119 -
::1 - - [26/May/2022:12:42:00 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:42:00 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [26/May/2022:12:42:00 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:42:18 +0000] "GET /view HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:42:18 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:42:18 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:42:18 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:42:22 +0000] "POST /login HTTP/1.1" 302 54 -
::1 - - [26/May/2022:12:42:22 +0000] "GET /view HTTP/1.1" 200 6119 -
::1 - - [26/May/2022:12:42:22 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:42:22 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [26/May/2022:12:42:22 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:43:22 +0000] "GET /view HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:43:22 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:43:22 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:43:22 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:43:25 +0000] "POST /login HTTP/1.1" 302 54 -
::1 - - [26/May/2022:12:44:01 +0000] "GET /view HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:44:01 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:44:01 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:44:01 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:44:12 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:44:12 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:44:12 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:44:14 +0000] "POST /login HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:44:15 +0000] "GET /login HTTP/1.1" 200 1818 -
::1 - - [26/May/2022:12:44:15 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:44:15 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:45:04 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:45:04 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:45:04 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [26/May/2022:12:45:07 +0000] "POST /login HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:45:07 +0000] "GET /login HTTP/1.1" 200 1818 -
::1 - - [26/May/2022:12:45:07 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [26/May/2022:12:45:07 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [26/May/2022:12:59:13 +0000] "GET /view HTTP/1.1" 302 56 -
::1 - - [26/May/2022:12:59:13 +0000] "GET /login HTTP/1.1" 200 1797 -
